------------------------------------------------------------
2025-05-12 09:12:22 UTC   Services Configuration Information
------------------------------------------------------------

                                                                                                              Prefetch  ---------------------- Auditing -----------------------
Package                    Service Name                              Stateless  Caching  Cache TTL  Prefetch  Level     Enable          Log On                 Include Pipeline
MCUMConsumer               ...services:upsertIndividualtoDocumentDB  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...rvices:upsertIndividualtoOpenSearchDB  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.utils:addOrderByCondition    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.utils:checkGsm7Char          true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.utils:convertChar            true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...onsumer.utils:dateTimeString_DateTime  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...Consumer.utils:extractWordsFromString  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.utils:getWorkingDay          true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               MCUMConsumer.utils:searchJSONKey          true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...SDGW_.connectors:SoSPortType_SubmitSM  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...ervices:SoSPortType_SubmitSM_Response  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMConsumer               ...esponseServices:genericFault_Response  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               ...der.adapters:getCharecteristicDetails  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               ...dapters:getCharecteristicDetailsbyIds  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               ...ider.adapters:getCommunicationMessage  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               ....adapters:getCommunicationMessageById  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               ...dapters:getCommunicationMessagesbyIds  true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               MCUMProvider.adapters:getCountryConfig    true       false    N/A        false     N/A       Never           Error                  Never           
MCUMProvider               MCUMProvider.adapters:getReceiver_Status  true       false    N/A        false     N/A       Never           Error                  Never           
